i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
113,0.02,4,8,10,0,49.81,50.00
114,0.04,95,122,60,431,45.38,45.71
115,0.00,3,7,10,0,50.10,50.13
116,0.02,4,7,10,0,49.71,49.96
117,0.04,114,138,112,2067,41.35,47.35
118,0.00,3,6,10,0,50.13,50.16
119,0.02,4,7,10,0,49.75,50.01
120,0.04,113,138,68,187,46.88,41.49
121,0.00,3,5,10,0,50.10,50.13
122,0.03,4,6,10,0,49.63,49.94
123,0.07,113,138,112,2078,41.23,47.27
124,0.00,3,5,10,0,50.07,50.13
125,0.00,3,5,10,0,50.13,50.16
126,0.00,3,4,10,0,50.15,50.16
127,0.00,3,3,10,0,50.15,50.16
128,0.00,3,3,10,0,50.15,50.16
